now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-03T00:00:31.050051,Cập nhật 8 ngày trước,"64,5 tỷ",,,360 m²,"179,17 triệu/m²",Đã có sổ,8 phòng,5 phòng,,,,Hẻm xe hơi,20 m,19 m,Nhà biệt thự,3,,,,1080 m²,,,,
2025-10-03T00:00:32.678778,Cập nhật 1 ngày trước,"4,05 tỷ",,,30 m²,135 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Nở hậu,4.1 m,,,,,,,,,,,
2025-10-03T00:00:38.339421,Cập nhật 6 ngày trước,"5,5 tỷ",,,38 m²,"144,74 triệu/m²",Đã có sổ,5 phòng,4 phòng,Hoàn thiện cơ bản,,,Hiện trạng khác,4 m,9 m,"Nhà ngõ, hẻm",5,,,,38 m²,,,,
2025-10-03T00:00:42.349000,Cập nhật 7 ngày trước,"2,55 tỷ",,,36 m²,"70,83 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,m²,,,,,
2025-10-03T00:00:41.732912,Cập nhật 11 giờ trước,5 tỷ,,,33.6 m²,"148,81 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,Hẻm xe hơi,6 m,,"Nhà ngõ, hẻm",5,,,,33.6 m²,,,,
2025-10-03T00:00:42.121159,Cập nhật 6 ngày trước,"3,1 tỷ",,,48.9 m²,"63,39 triệu/m²",Đã có sổ,,,,Đất thổ cư,Nam,Hẻm xe hơi,3.7 m,13 m,,,,,,,,,,
2025-10-03T00:00:47.594193,Cập nhật 7 ngày trước,"3,85 tỷ",,,40 m²,"96,25 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,,,,4 m,10 m,Nhà phố liền kề,4,,,,150 m²,,,,
2025-10-03T00:00:48.641752,Cập nhật 6 ngày trước,"26,45 tỷ",,,62 m²,"426,61 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,,,Hẻm xe hơi,6.3 m,,"Nhà ngõ, hẻm",4,,,,70 m²,,,,
2025-10-03T00:00:52.599105,Cập nhật 7 ngày trước,19 tỷ,,,95 m²,200 triệu/m²,Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,,,,Nhà biệt thự,3,,,,,,,,
2025-10-03T00:00:53.791487,Cập nhật 7 ngày trước,"11,9 tỷ",,,45 m²,"264,44 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,,Hẻm xe hơi,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:00:52.588044,Cập nhật 11 giờ trước,"13,5 tỷ",,,44 m²,"306,82 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,,Hẻm xe hơi,4.5 m,10 m,"Nhà ngõ, hẻm",4,,,,44 m²,,,,
2025-10-03T00:00:56.687863,Cập nhật 7 ngày trước,"1,48 tỷ",,,80 m²,"18,50 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,7 m,11 m,,,,,m²,,,,,
2025-10-03T00:01:03.864805,Cập nhật 6 ngày trước,"11,8 tỷ",,,37 m²,"318,92 triệu/m²",Đã có sổ,5 phòng,5 phòng,,,,,,,"Nhà mặt phố, mặt tiền",5,,,,,,,,
2025-10-03T00:01:04.069117,Cập nhật 8 ngày trước,21 tỷ,,,81 m²,"259,26 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,,,,,,"Nhà ngõ, hẻm",8,,,,,,,,
2025-10-03T00:01:05.382292,Cập nhật 8 ngày trước,"6,3 tỷ",,,25 m²,252 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,,3.3 m,7 m,"Nhà ngõ, hẻm",5,,,,25 m²,,,,
2025-10-03T00:01:06.702598,Cập nhật 7 ngày trước,"3,85 tỷ",Chưa bàn giao,"Tập thể, cư xá",85 m²,"45,29 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,Hoàn thiện cơ bản,,,,,,,,,,,,,,,
2025-10-03T00:01:08.310091,Cập nhật 1 ngày trước,"8,7 tỷ",,,40 m²,"217,50 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:01:12.695258,Cập nhật 6 ngày trước,"5,6 tỷ",,,30 m²,"186,67 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,,,,Nhà phố liền kề,5,,,,,,,,
2025-10-03T00:01:13.829892,Cập nhật 7 ngày trước,"14,65 tỷ",,,45 m²,"325,56 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:01:14.940298,Cập nhật 5 ngày trước,"19,9 tỷ",,,110 m²,"180,91 triệu/m²",Đã có sổ,6 phòng,Nhiều hơn 6 phòng,,,,Nhà nở hậu,5 m,22 m,"Nhà mặt phố, mặt tiền",6,,,,5000 m²,,,,
2025-10-03T00:01:16.497585,Cập nhật 6 ngày trước,"24,9 tỷ",,,75 m²,332 triệu/m²,Đã có sổ,3 phòng,3 phòng,Hoàn thiện cơ bản,,Đông Bắc,,4.4 m,17 m,"Nhà mặt phố, mặt tiền",4,,,,200 m²,,,,
