now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,floors,property_status,apartment_type,floornumber,land_type,pty_characteristics,width,length,block,size_unit,living_size,unitnumber,commercial_type,direction,apartment_feature,balconydirection
2025-10-04T00:16:49.847880,Cập nhật 7 ngày trước,"8,1 tỷ","Nhà ngõ, hẻm",45 m²,180 triệu/m²,Đã có sổ,6 phòng,,Nội thất đầy đủ,5,,,,,,,,,,,,,,,
2025-10-04T00:16:51.362787,Cập nhật 7 ngày trước,"9,6 tỷ","Nhà ngõ, hẻm",43 m²,"223,26 triệu/m²",Đã có sổ,5 phòng,2 phòng,Nội thất đầy đủ,4,,,,,Nhà nở hậu Hẻm xe hơi,4.2 m,10 m,,,147 m²,,,,,
2025-10-04T00:16:54.051860,Cập nhật 8 ngày trước,6 tỷ,,50 m²,120 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,4.8 m,,,,,,,,,
2025-10-04T00:16:56.372083,Cập nhật 8 ngày trước,25 tỷ,"Nhà mặt phố, mặt tiền",76 m²,"328,95 triệu/m²",Đã có sổ,6 phòng,,Nội thất đầy đủ,6,,,,,,,,,,76 m²,,,,,
2025-10-04T00:16:58.260426,Cập nhật 8 ngày trước,"14,5 tỷ",,50 m²,290 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Hẻm xe hơi,11 m,5 m,,m²,,,,,,
2025-10-04T00:16:59.267493,Cập nhật 6 ngày trước,"7,9 tỷ",,38 m²,"207,89 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Thổ cư toàn bộ,,,,,,,,,,
2025-10-04T00:17:02.032172,Cập nhật 9 ngày trước,3 tỷ,,60 m²,50 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,6 m,10 m,,m²,,,,,,
2025-10-04T00:17:03.730989,Cập nhật 9 ngày trước,"11,5 tỷ",,80 m²,"143,75 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,,,,m²,,,,,,
2025-10-04T00:17:04.086932,Cập nhật 9 ngày trước,8 tỷ,"Nhà ngõ, hẻm",35 m²,"228,57 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,,,,Hẻm xe hơi Nhà nở hậu,,,,,,,,,,
2025-10-04T00:17:07.254914,Cập nhật 9 ngày trước,105 tỷ,,3500 m²,30 triệu/m²,Đã có sổ,,,,,,,,,,,,,,,,Mặt bằng kinh doanh,,,
2025-10-04T00:17:07.973842,Cập nhật 7 ngày trước,"7,6 tỷ","Nhà ngõ, hẻm",45 m²,"168,89 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-04T00:17:10.328407,Cập nhật 7 ngày trước,"7,555 tỷ","Nhà ngõ, hẻm",37 m²,"204,19 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,6,,,,,,3.6 m,,,,37 m²,,,,,
2025-10-04T00:17:12.656029,Cập nhật 9 ngày trước,"3,55 tỷ","Nhà ngõ, hẻm",19 m²,"186,84 triệu/m²",Đã có sổ,2 phòng,2 phòng,Hoàn thiện cơ bản,3,,,,,Nhà nở hậu Hẻm xe hơi,3.25 m,,,,19 m²,,,,,
2025-10-04T00:17:15.136439,Cập nhật 7 ngày trước,"14,5 tỷ",Nhà phố liền kề,52 m²,"278,85 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,4,,,,,Hẻm xe hơi,5 m,,,,,,,,,
