now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:41:57.712376,Cập nhật 9 ngày trước,"5,5 tỷ",,39 m²,"141,03 triệu/m²",Sổ hồng riêng,,,,,,,2 phòng,,,,,Chưa bàn giao,Chung cư,,,,,,,,
2025-10-04T12:42:01.634371,Cập nhật 9 ngày trước,"6,1 tỷ",,34 m²,"179,41 triệu/m²",Đã có sổ,Nhà nở hậu,,,Đông,,"Nhà ngõ, hẻm",4 phòng,4 phòng,,4,34 m²,,,,,,,,,,
2025-10-04T12:42:01.984635,Cập nhật 9 ngày trước,"4,3 tỷ",Đất thổ cư,54 m²,"79,63 triệu/m²",Đã có sổ,,,,,,,,,,,,,,,,,,,,,
2025-10-04T12:42:03.764392,Cập nhật 9 ngày trước,"7,3 tỷ",,48 m²,"152,08 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,,4,,,,,,,,,,,
2025-10-04T12:42:11.173828,Cập nhật 9 ngày trước,"12,55 tỷ",,48 m²,"261,46 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,,,,,,,
2025-10-04T12:42:11.446895,Cập nhật 9 ngày trước,"5,6 tỷ",,44 m²,"127,27 triệu/m²",Đã có sổ,,4 m,,,,"Nhà ngõ, hẻm",4 phòng,,Nội thất đầy đủ,4,44 m²,,,,,,,,,,
2025-10-04T12:42:13.029857,Cập nhật 9 ngày trước,"20,4 tỷ",,50 m²,408 triệu/m²,Đã có sổ,,,,,,"Nhà mặt phố, mặt tiền",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:42:14.457698,Cập nhật 9 ngày trước,"8,5 tỷ",,48 m²,"177,08 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,4 phòng,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:42:16.410529,Cập nhật 9 ngày trước,"19,9 tỷ",,103 m²,"193,20 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,4.2 m,,,22 m,"Nhà ngõ, hẻm",4 phòng,4 phòng,Nội thất đầy đủ,3,,,,,,,,,,,
2025-10-04T12:42:23.164101,Cập nhật 9 ngày trước,"5,85 tỷ",,75 m²,78 triệu/m²,Sổ hồng riêng,,,,,,,1 phòng,1 phòng,Bàn giao thô,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,
2025-10-04T12:42:23.659168,Cập nhật 9 ngày trước,"8,8 tỷ",,36 m²,"244,44 triệu/m²",Đã có sổ,,5.1 m,,,7 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,6,36 m²,,,,,,,,,,
2025-10-04T12:42:25.763063,Cập nhật 9 ngày trước,"9,1 tỷ",,48 m²,"189,58 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:42:31.751865,Cập nhật 9 ngày trước,"9,15 tỷ",,38 m²,"240,79 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,,4,,,,,,,,,,,
2025-10-04T12:42:34.850491,Cập nhật 9 ngày trước,"5,9 tỷ",,21 m²,"280,95 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",2 phòng,,,,,,,,,,,,,,
