now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:52:09.686196,Cập nhật 8 ngày trước,"10,8 tỷ","Nhà ngõ, hẻm",57 m²,"189,47 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:52:15.288532,Cập nhật 7 ngày trước,"6,58 tỷ","Nhà ngõ, hẻm",84 m²,"78,33 triệu/m²",Đã có sổ,4 phòng,Hoàn thiện cơ bản,4,,,9 m,,,,,,84 m²,,,,,,
2025-10-03T07:52:22.847167,Cập nhật 6 ngày trước,"6,3 tỷ",,52 m²,"121,15 triệu/m²",Đã có sổ,,,,,Thổ cư toàn bộ,5.5 m,Đất thổ cư,,9.6 m,,m²,,,,,,,
2025-10-03T07:52:21.159588,Cập nhật 7 ngày trước,6 tỷ,"Nhà mặt phố, mặt tiền",39 m²,"153,85 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,,,,,,,,,,,,,,,,
2025-10-03T07:52:29.749505,Cập nhật 8 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",36 m²,"188,89 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:52:30.570212,Cập nhật 8 ngày trước,"9,5 tỷ",,451 m²,"21,06 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư 1 phần",,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T07:52:33.191559,Cập nhật 5 ngày trước,"5,6 tỷ","Nhà ngõ, hẻm",36 m²,"155,56 triệu/m²",Đã có sổ,3 phòng,,4,3 phòng,,,,,,,,,,,,,,
2025-10-03T07:52:42.753551,Cập nhật 6 ngày trước,"4,05 tỷ","Nhà ngõ, hẻm",32 m²,"126,56 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:52:42.255196,Cập nhật 8 ngày trước,"6,95 tỷ","Nhà ngõ, hẻm",35 m²,"198,57 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,5,4 phòng,"Nhà nở hậu
Hẻm xe hơi",3.5 m,,Nam,,,,35 m²,,,,,,
2025-10-03T07:52:56.308830,Cập nhật 8 ngày trước,"10,6 tỷ","Nhà ngõ, hẻm",46 m²,"230,43 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:53:09.394333,Cập nhật 7 ngày trước,11 tỷ,,100 m²,110 triệu/m²,Đang chờ sổ,,,,,Mặt tiền,5 m,Đất nền dự án,Đông,20 m,khu đô thị thanh hà b1.4 lk 28 ô 2,m²,,,,,,,
2025-10-03T07:53:16.420398,Cập nhật 7 ngày trước,"17,6 tỷ",,125 m²,"140,80 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi",6.7 m,Đất thổ cư,Bắc,18.7 m,,m²,,,,,,,
2025-10-03T07:53:17.707336,Cập nhật 5 ngày trước,"17,9 tỷ",,56 m²,"319,64 triệu/m²",Đã có sổ,,,,,Mặt tiền,3.8 m,Đất nền dự án,Đông Bắc,14.7 m,,m²,,,,,,,
2025-10-03T07:53:23.522460,Cập nhật 6 ngày trước,"12,9 tỷ",,100 m²,129 triệu/m²,Đã có sổ,,,,,,5 m,Đất thổ cư,,20 m,,,,,,,,,
2025-10-03T07:53:31.077427,Cập nhật 8 ngày trước,5 tỷ,"Nhà ngõ, hẻm",31 m²,"161,29 triệu/m²",Đã có sổ,3 phòng,,4,,,,,,,,,,,,,,,
2025-10-03T07:53:33.628553,Cập nhật 8 ngày trước,"5,6 tỷ","Nhà ngõ, hẻm",45.4 m²,"123,35 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:53:37.438022,Cập nhật 8 ngày trước,"6,58 tỷ","Nhà ngõ, hẻm",32 m²,"205,62 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:53:49.176401,Cập nhật 8 ngày trước,"5,5 tỷ",,39 m²,"141,03 triệu/m²",Sổ hồng riêng,2 phòng,,,,,,,,,,,,Chưa bàn giao,Chung cư,,,,
2025-10-03T07:53:48.121063,Cập nhật 8 ngày trước,250 tỷ,Nhà biệt thự,320 m²,"781,25 triệu/m²",Đã có sổ,5 phòng,Hoàn thiện cơ bản,2,5 phòng,Nhà nở hậu,11 m,,Đông Bắc,30 m,,,600 m²,,,,,,
2025-10-03T07:53:59.625514,Cập nhật 8 ngày trước,"15,2 tỷ","Nhà mặt phố, mặt tiền",50 m²,304 triệu/m²,Đã có sổ,8 phòng,Nội thất cao cấp,,Nhiều hơn 6 phòng,,4 m,,,13 m,,,350 m²,,,,,,
2025-10-03T07:54:05.841528,Cập nhật 8 ngày trước,"12,78 tỷ","Nhà ngõ, hẻm",48 m²,"266,25 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,5,4 phòng,,,,,,,,50 m²,,,,,,
2025-10-03T07:54:13.919406,Cập nhật 8 ngày trước,"2,15 tỷ","Nhà ngõ, hẻm",16 m²,"134,38 triệu/m²",Đang chờ sổ,2 phòng,Nội thất đầy đủ,4,,,4 m,,,,,,16 m²,,,,,,
2025-10-03T07:54:20.216837,Cập nhật 7 ngày trước,"5,5 tỷ","Nhà ngõ, hẻm",31 m²,"177,42 triệu/m²",Đã có sổ,3 phòng,Nội thất cao cấp,5,3 phòng,Nhà nở hậu,3.6 m,,,11 m,,,31 m²,,,,,,
2025-10-03T07:54:33.820665,Cập nhật 7 ngày trước,"32,4 tỷ",,85 m²,"381,18 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi",,Đất thổ cư,,,,,,,,,,,
2025-10-03T07:54:39.028792,Cập nhật 8 ngày trước,"6,5 tỷ","Nhà mặt phố, mặt tiền",25 m²,260 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:54:42.199763,Cập nhật 7 ngày trước,"7,3 tỷ","Nhà ngõ, hẻm",43 m²,"169,77 triệu/m²",Đã có sổ,4 phòng,,4,5 phòng,,,,,,,,46 m²,,,,,,
2025-10-03T07:54:51.586632,Cập nhật 5 ngày trước,87 tỷ,"Nhà mặt phố, mặt tiền",130 m²,"669,23 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,9,Nhiều hơn 6 phòng,,6 m,,,,,,,,,,,,
2025-10-03T07:55:22.398078,Cập nhật 8 ngày trước,"29,79 tỷ","Nhà ngõ, hẻm",87 m²,"342,41 triệu/m²",Đã có sổ,8 phòng,Nội thất cao cấp,9,Nhiều hơn 6 phòng,Hẻm xe hơi,8 m,,,,,,96 m²,,,,,,
2025-10-03T07:55:22.011010,Cập nhật 8 ngày trước,138 tỷ,"Nhà mặt phố, mặt tiền",60 m²,"2,30 tỷ/m²",Đã có sổ,nhiều hơn 10 phòng,Nội thất cao cấp,7,Nhiều hơn 6 phòng,,5 m,,,,,,760 m²,,,,,,
2025-10-03T07:55:22.903690,Cập nhật 7 ngày trước,"11,4 tỷ",,75 m²,152 triệu/m²,Đã có sổ,,,,,Thổ cư toàn bộ,5.5 m,Đất thổ cư,,13 m,,m²,,,,,,,
