now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:07:24.370570,Cập nhật 8 ngày trước,"5,1 tỷ","Nhà ngõ, hẻm",50 m²,,102 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,4,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:07:27.044936,Cập nhật 3 ngày trước,"7,25 tỷ","Nhà ngõ, hẻm",31 m²,31 m²,"233,87 triệu/m²",Đã có sổ,1 phòng,4 phòng,Nội thất đầy đủ,,,5,,,Nhà nở hậu,,,Nam,,,,,,
2025-10-04T00:07:29.416474,Cập nhật 9 ngày trước,"5,8 tỷ","Nhà ngõ, hẻm",31 m²,31 m²,"187,10 triệu/m²",Đã có sổ,2 phòng,2 phòng,Nội thất đầy đủ,4.1 m,7.3 m,3,,,Nhà nở hậu,,,,,,,,1,
2025-10-04T00:07:35.394734,Cập nhật 8 ngày trước,"8,2 tỷ","Nhà mặt phố, mặt tiền",46 m²,,"178,26 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:07:37.393396,Cập nhật 7 ngày trước,"7,6 tỷ","Nhà mặt phố, mặt tiền",43 m²,,"176,74 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:07:38.302279,Cập nhật 9 ngày trước,"7,7 tỷ","Nhà ngõ, hẻm",39 m²,,"197,44 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,,,,,,,,,,,,
2025-10-04T00:07:49.171908,Cập nhật 7 ngày trước,"9,6 tỷ",,60 m²,,160 triệu/m²,Đã có sổ,,,,5.8 m,10.34 m,,,,,Đất thổ cư,m²,Đông,,,,,,
2025-10-04T00:07:51.583420,Cập nhật 8 ngày trước,"16,65 tỷ","Nhà ngõ, hẻm",47 m²,,"354,26 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,Nội thất cao cấp,,,,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:07:57.536096,Cập nhật 9 ngày trước,"5,999 tỷ","Nhà ngõ, hẻm",33 m²,,"181,79 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,,,,,,,Tây,,,,,,
2025-10-04T00:08:01.486088,Cập nhật 9 ngày trước,5 tỷ,,92.1 m²,,"54,29 triệu/m²",Đã có sổ,,,,6.1 m,,,,,Thổ cư toàn bộ,Đất thổ cư,m²,Tây Nam,,,,,,
2025-10-04T00:08:08.430844,Cập nhật 7 ngày trước,"8,2 tỷ","Nhà ngõ, hẻm",37 m²,37 m²,"221,62 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,3.5 m,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:08:13.659354,Cập nhật 8 ngày trước,"14,5 tỷ","Nhà ngõ, hẻm",45 m²,,"322,22 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,4 m,,7,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:08:18.411332,Cập nhật 7 ngày trước,"13,8 tỷ",Nhà phố liền kề,65 m²,,"212,31 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,5 m,,6,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:08:23.696258,Cập nhật 7 ngày trước,"7,11 tỷ","Nhà ngõ, hẻm",31 m²,153 m²,"229,35 triệu/m²",Đã có sổ,3 phòng,3 phòng,,3.1 m,10 m,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:08:23.398298,Cập nhật 7 ngày trước,"12,79 tỷ","Nhà ngõ, hẻm",40 m²,300 m²,"319,75 triệu/m²",Đã có sổ,3 phòng,5 phòng,Nội thất cao cấp,4 m,,7,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
